,1207070
<,760
doc,10
id,15
"=""",7660
5,20193
"""",25263
url,1
https,9
://,28
ja,27
.,19391
wikipedia,29
org,136
/,9046
wiki,6
?,106
curid,1
=,2424
title,7520
アンパサンド,12
""">",7527
"(,",84
&),1
と,357225
は,641625
「,132565
…,1094
」,131016
を,549707
意味,7651
する,153161
記号,1771
で,463395
ある,161274
。,611609
ラテン語,848
の,1076631
合,395
字,2061
、,987451
Trebuchet,1
MS,530
フォント,422
表示,4433
さ,188093
れ,188907
et,71
こと,106280
が,529012
容易,1353
に,634302
わかる,460
ampersa,1
すなわち,2200
and,465
per,30
se,10
"""、",241
その,40500
[,504
the,724
symbol,6
which,13
],357
by,68
itself,4
is,121
使用,15746
1,52135
世紀,9256
遡る,247
でき,10819
(,22994
)、,1695
中葉,56
2,45665
",",13282
3,37299
),19045
から,103329
現代,3167
4,26516
-,49170
6,16013
至る,1727
まで,30619
変遷,308
Z,568
続く,1532
ラテン,535
文字,6096
アルファベット,404
27,2265
目,6244
た,478808
時期,3870
も,154921
同じ,7370
役割,1864
果たす,512
呼ば,13197
れる,70049
数字,1101
7,14356
似,1395
あっ,35408
U,887
+,1865
204,39
A,4097
)。,828
この,52408
現在,17229
ゲール,27
使わ,6863
て,349863
いる,143586
名,10088
まじり,10
英語,3613
「&,1
それ,15101
自身,4185
表す,2537
(&,1
くずれ,7
形,9785
以外,6846
言語,6594
名称,4108
多様,1511
日常,862
的,64900
な,98006
手書き,94
場合,22667
欧米,895
ε,142
縦,556
線,23612
引く,272
単純,1210
化,24051
もの,39763
また,38487
同様,5887
t,581
または,5673
「+（,1
プラス,162
）,180121
輪,938
重ね,550
よう,44022
無声,67
歯茎,33
側面,1111
摩擦音,50
示す,2931
発音,1019
プログラミング,981
C,4112
など,72830
多数,3617
AND,26
演算,1105
子,3434
として,69006
用い,10798
られる,18381
以下,9263
例,6352
PHP,143
変数,961
宣言,1764
（$）,1
直前,982
記述,2950
参照,5724
渡し,247
行う,7087
できる,16642
BASIC,389
系列,1568
列,1550
連結,1055
codice,1801
_,5661
返す,204
主,7367
マイクロソフト,566
系,14472
整数,947
十,4408
六,1658
進,531
表記,4641
（,179194
15,5819
表現,4395
SGML,82
XML,563
HTML,287
使っ,2804
実体,281
記事,1477
げん,181
ご,874
特に,7523
自然,3930
について,15856
述べる,592
広辞苑,47
や,82666
大辞泉,20
次,10457
辞典,217
等,9917
以上,7461
わけ,1864
だ,18820
これ,25984
大きく,4469
二分,225
形式,3396
うち,5396
述べ,2914
しかし,13207
1950,1285
年代,9859
以降,10141
学,8511
定義,5026
中,24257
体系,1416
といった,5507
面,4975
扱い,1520
言い換える,81
扱う,1262
なっ,55993
おり,21993
こん,137
ちの,58
において,19633
全く,1661
無関係,290
分野,3229
そう,1488
多く,16552
ない,61026
議論,1508
における,9377
文法,623
従っ,204
並び,333
集合,2935
人間,4377
用いる,2612
意志,281
伝達,423
手段,1415
あり,35907
社会,6464
集団,1590
内,10499
形成,3086
習得,253
相互,2445
コミュニケーション,214
抽象,476
思考,323
可能,11245
し,288585
結果,6069
活動,6281
文化,4711
支え,513
個別,573
特徴,3492
織り込ま,16
共同,2321
体,6434
メンバー,1292
られ,31878
によって,24766
学習,608
および,9307
望ましい,230
人格,237
ゆく,429
なる,33547
ソシュール,51
研究,8392
発展,3658
上,17439
非常,3598
重要,4409
果たし,1345
langue,2
ラング,15
に対して,7596
個々,544
人,33270
parole,2
パロール,7
という,37899
用語,1570
こうした,2154
どの,1739
理解,1572
か,19038
説明,2520
『,47624
外的,58
音声,1073
前提,914
発話,30
了解,113
分け,1826
単位,3871
音素,186
・,111896
形態素,124
単語,624
素,391
音韻,167
構成,4960
』,46513
《,266
》,264
間,19718
結び付け,92
方,4384
連合,3424
作ら,2568
習慣,508
シニフィアン,10
シニフィエ,7
なお,10998
2016,2510
年,166026
影響,7827
下地,57
ものの,4464
主として,380
前後,1736
始まり,1257
広がっ,692
チョムスキー,63
による,21207
はじめ,2364
諸,2218
理論,3245
それら,2543
へ,29456
修正,1019
あるいは,4623
反論,277
由来,2621
占め,1106
普通,3661
近代,2104
ヨーロッパ,3842
構造,5949
主義,6791
アメリカ,9406
ので,6235
注意,1161
だけ,8320
拘る,7
あまり,1695
発生,5527
他,11983
エスペラント,55
国際,7124
補助,1010
語,13396
人工,1063
積極,1237
人為,139
により,21257
なさ,1786
点,7678
偏見,104
理由,3627
区別,2281
無い,1563
持つ,7094
いくつ,2510
性質,2133
削い,7
設計,2880
一部,9503
ログラン,2
沿っ,617
動物,2076
呼ぶ,4146
主張,3030
普遍,396
概念,2755
大前提,23
どういう,75
不,1785
明確,1304
さまざま,1554
分類,3540
前述,1681
口語,125
口頭,69
書記,239
文語,64
重,2058
部分,6467
はっきり,481
一,15716
日本語,2955
対応,5829
手話,140
一般,11033
話し言葉,49
書き言葉,39
同一,1443
視覚,340
バージョン,1288
日本,30938
異なる,4905
考え,7713
そちら,104
屈折,97
膠着,88
孤立,320
詳細,2092
類型,162
論,4906
コンピュータ,3204
各,6896
実際,4532
広く,2624
厳密,842
困難,1729
伴う,1294
規則,1161
どこ,647
明記,257
人々,2357
ながら,4624
行わ,13482
なく,16319
単一,421
い,65859
させる,297
材料,945
方言,1207
地理,767
バリエーション,240
新語,45
普及,2883
歴史,4640
変化,4129
言い,579
間違い,309
かけ,1604
終わる,563
発言,1076
通常,4033
反する,205
むしろ,728
さかん,102
テーマ,1025
思わ,1222
ジャック・デリダ,10
フランス,5044
ポスト,391
代表,5195
哲学,2054
者,33259
位置づけ,624
声,1563
基礎,1391
代替,743
発想,268
中心,8419
Phonocentrism,1
デリダ,10
称する,565
存在,15252
に対する,4739
批判,2710
投げかける,12
立場,1633
現象,2178
グラマトロジー,3
差,2413
延,259
民族,2926
滅亡,558
吸収,914
死語,48
再び,2310
母語,246
ただ,1205
ヘブライ,373
しか,3285
復活,1250
でも,6364
完全,3442
消滅,1178
文章,589
存続,609
パレスチナ,445
移住,801
ユダヤ,1365
たち,5689
20,7617
入っ,2492
せ,13336
イスラエル,1186
建国,594
とともに,4105
公用,630
指定,3055
再生,1220
ほか,6265
古典,1393
アラビア,1066
ギリシャ,1159
もはや,287
ず,16689
教典,49
宗教,2690
行為,2136
のみ,11449
典礼,92
近年,3087
話者,368
数,14656
少ない,2187
飲み込ま,24
新た,2839
化す,14
問題,8987
視,1063
なり,14364
危機,975
世界,13715
一体化,97
進み,876
交通,3958
網,1123
整備,2823
流通,1022
迅速,157
ラジオ,1333
テレビ,4055
マスメディア,192
発達,1548
保っ,299
小さな,1016
コミュニティ,480
維持,1923
ため,52969
起こる,900
より,19359
大きな,4787
視点,519
勢力,2354
伸張,75
主要,2538
縮小,579
いわゆる,2061
帝国,3376
含ま,3742
いえる,1026
すくなくとも,5
21,3584
初頭,1082
派,6457
占める,1217
国家,5371
除い,1093
グローバル,151
直結,271
圏,3065
隣接,837
必ずしも,926
国,16527
交流,1705
不可欠,286
小,2022
取り込ま,153
起きる,338
動き,1761
